epoch,train_loss,train_acc,val_loss,val_acc,time_s
1,3.37756,0.69093,3.18772,0.67386,27.3
2,3.05693,0.71034,3.09532,0.73035,18.1
3,2.95935,0.71692,2.792,0.73495,16.7
4,2.78145,0.73732,2.80536,0.72642,15.0
5,2.73273,0.74531,2.7059,0.74376,16.1
6,2.67466,0.75171,2.82005,0.7444,16.7
7,2.60878,0.75772,2.72845,0.74846,16.8
8,2.5898,0.75956,2.70237,0.74703,15.1
9,2.53894,0.76695,2.87897,0.73909,15.6
10,2.51803,0.76703,2.77042,0.73679,15.5
11,2.50267,0.76809,2.61761,0.76023,17.2
12,2.44846,0.77855,2.62808,0.75992,17.4
13,2.38938,0.78115,2.69897,0.75754,16.3
14,2.38595,0.78315,2.66216,0.75928,15.3
15,2.36983,0.78663,2.68328,0.75817,15.4
16,2.30297,0.79233,2.70291,0.74341,15.5
17,2.25993,0.79371,2.61808,0.76693,15.0
18,2.23531,0.79776,2.88287,0.7146,15.3
19,2.23639,0.79689,2.85618,0.7241,15.0
20,2.16507,0.80466,2.89364,0.72048,14.9
21,2.2406,0.79922,2.64256,0.75486,15.2
22,2.18731,0.80082,2.66423,0.75266,15.0
23,2.11663,0.8105,2.71921,0.74825,15.2
24,2.06843,0.81601,2.83067,0.73707,15.0
25,2.08363,0.81414,2.7677,0.75211,15.1
26,2.05491,0.81755,2.63596,0.76322,14.8
27,1.97368,0.82585,2.69814,0.7421,15.2
28,1.94866,0.83087,2.76216,0.74666,15.1
29,1.92916,0.83401,2.92515,0.72357,15.0
30,1.90009,0.83315,2.89132,0.74559,15.0
31,1.89406,0.83775,2.79185,0.75999,16.1
32,1.84851,0.84347,2.88367,0.75242,15.2
33,1.85547,0.84154,2.80032,0.74994,16.4
34,1.76022,0.85414,2.94439,0.74444,15.3
35,1.84078,0.84368,2.87805,0.74278,15.0
36,1.73545,0.8578,2.88672,0.73956,15.1
37,1.69755,0.86364,3.02729,0.7402,15.2
38,1.59605,0.87599,2.9554,0.72744,15.9
39,1.64,0.86844,2.97068,0.73577,15.1
40,1.60061,0.87442,3.20755,0.69423,15.2
41,1.69968,0.8626,3.08097,0.71614,15.0
42,1.57959,0.8791,2.99702,0.74868,15.4
43,1.4892,0.88932,3.06772,0.7402,15.4
44,1.49666,0.88706,2.98721,0.75263,14.9
45,1.55562,0.882,2.96424,0.74906,16.9
46,1.48014,0.88942,3.14007,0.74255,14.9
47,1.45158,0.89209,3.34034,0.70312,15.1
48,1.38756,0.90098,3.05788,0.73939,17.7
49,1.39895,0.89943,3.22322,0.73352,15.1
50,1.43827,0.89613,2.9447,0.74915,15.3
